"OrderID","InvoiceDate","CustomerID","OrderVolume","ShipMode","Segment","Category","PaymentTerm","Discount","ExistingPurchaseOrder","FirstCustomerOrder","CashInDate"
"O-122","2011-01-08",1030,33.39,"First Class","Corporate","Office Supplies",45,"5%","Yes","No","2011-03-02"
"O-123","2011-01-08",1015,120.37,"Standard Class","Consumer","Office Supplies",14,"0%","No","No","2011-02-17"
"O-124","2011-01-08",1015,135.12,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-01-28"
"O-125","2011-01-08",1014,51.84,"Second Class","Corporate","Office Supplies",30,"5%","Yes","No","2011-02-08"
"O-126","2011-01-08",1030,155.36,"First Class","Corporate","Furniture",45,"0%","Yes","No","2011-02-20"
"O-130","2011-01-08",1025,37.84,"Standard Class","Corporate","Technology",14,"0%","Yes","No","2011-02-17"
"O-134","2011-01-08",1008,55.24,"Standard Class","Consumer","Office Supplies",14,"0%","Yes","No","2011-02-07"
"O-135","2011-01-08",1008,27.36,"Standard Class","Consumer","Office Supplies",45,"5%","Yes","No","2011-02-11"
"O-136","2011-01-08",1000,15.48,"Standard Class","Consumer","Office Supplies",45,"5%","Yes","No","2011-02-22"
"O-137","2011-01-08",1000,5.91,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-02"
"O-142","2011-01-09",1020,324.45,"Second Class","Consumer","Furniture",14,"5%","Yes","Yes","2011-01-18"
"O-143","2011-01-09",1011,272.74,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","Yes","2011-02-12"
"O-154","2011-01-09",1005,3.54,"Standard Class","Corporate","Office Supplies",30,"3%","Yes","Yes","2011-02-28"
"O-138","2011-01-09",1010,3028.8,"Standard Class","Consumer","Office Supplies",14,"3%","Yes","No","2011-02-10"
"O-140","2011-01-09",1015,912.46,"Standard Class","Consumer","Technology",45,"5%","Yes","No","2011-02-08"
"O-141","2011-01-09",1025,222.56,"Standard Class","Corporate","Technology",30,"3%","Yes","No","2011-02-22"
"O-145","2011-01-09",1013,148.96,"Second Class","Consumer","Office Supplies",14,"3%","Yes","No","2011-02-07"
"O-147","2011-01-09",1025,165.55,"Standard Class","Corporate","Technology",30,"3%","Yes","No","2011-02-13"
"O-148","2011-01-09",1008,69.3,"Standard Class","Consumer","Technology",14,"3%","Yes","No","2011-01-29"
"O-149","2011-01-09",1008,68.87,"Standard Class","Consumer","Furniture",30,"5%","No","No","2011-02-05"
"O-150","2011-01-09",1031,19.44,"Second Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-01"
"O-155","2011-01-10",1018,363.39,"Same Day","Corporate","Furniture",30,"0%","Yes","Yes","2011-02-16"
"O-157","2011-01-10",1018,142.38,"Same Day","Corporate","Office Supplies",45,"0%","Yes","No","2011-03-11"
"O-158","2011-01-10",1018,154.98,"Same Day","Corporate","Office Supplies",45,"5%","Yes","No","2011-02-28"
"O-159","2011-01-10",1014,156.24,"Same Day","Corporate","Technology",14,"3%","Yes","No","2011-01-26"
"O-160","2011-01-10",1000,255.84,"First Class","Consumer","Office Supplies",30,"3%","Yes","No","2011-02-21"
"O-162","2011-01-10",1000,44.7,"First Class","Consumer","Office Supplies",14,"5%","No","No","2011-02-09"
"O-165","2011-01-10",1014,37.11,"Same Day","Corporate","Technology",45,"5%","Yes","No","2011-02-19"
"O-167","2011-01-10",1014,11.37,"Same Day","Corporate","Office Supplies",30,"0%","Yes","No","2011-02-21"
"O-168","2011-01-10",1018,10.53,"Same Day","Corporate","Office Supplies",45,"0%","Yes","No","2011-03-09"
"O-170","2011-01-10",1028,5.03,"First Class","Consumer","Office Supplies",45,"3%","No","No","2011-03-05"
"O-188","2011-01-11",1021,91.38,"Standard Class","Corporate","Office Supplies",30,"0%","Yes","Yes","2011-03-08"
"O-193","2011-01-11",1022,28.32,"Standard Class","Corporate","Technology",14,"3%","Yes","Yes","2011-02-15"
"O-171","2011-01-11",1008,2875.09,"First Class","Consumer","Technology",45,"5%","Yes","No","2011-02-07"
"O-175","2011-01-11",1005,391.98,"Standard Class","Corporate","Technology",30,"0%","Yes","No","2011-02-08"
"O-176","2011-01-11",1008,445.41,"Standard Class","Consumer","Technology",30,"5%","Yes","No","2011-02-04"
"O-177","2011-01-11",1015,273.7,"Standard Class","Consumer","Technology",45,"3%","Yes","No","2011-02-19"
"O-178","2011-01-11",1008,387.52,"Standard Class","Consumer","Technology",14,"3%","No","No","2011-01-29"
"O-179","2011-01-11",1018,174.33,"Standard Class","Corporate","Technology",30,"5%","Yes","No","2011-02-12"
"O-180","2011-01-11",1020,102.72,"Same Day","Consumer","Office Supplies",14,"5%","Yes","No","2011-01-25"
"O-181","2011-01-11",1012,185.76,"Standard Class","Corporate","Office Supplies",45,"3%","Yes","No","2011-03-19"
"O-183","2011-01-11",1012,74.3,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-19"
"O-184","2011-01-11",1015,25.92,"First Class","Consumer","Office Supplies",30,,"Yes","No","2011-02-21"
"O-185","2011-01-11",1015,48.78,"Standard Class","Consumer","Furniture",30,"5%","No","No","2011-02-07"
"O-187","2011-01-11",1015,34.29,"First Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-06"
"O-189","2011-01-11",1008,27.46,"Standard Class","Consumer","Office Supplies",45,"0%","Yes","No","2011-03-05"
"O-191","2011-01-11",1014,26.43,"Standard Class","Corporate","Furniture",45,"5%","Yes","No","2011-02-18"
"O-192","2011-01-11",1019,31.12,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-02"
"O-194","2011-01-11",1005,6.54,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-01-31"
"O-195","2011-01-11",1000,4.7,"Second Class","Consumer","Office Supplies",30,"0%","Yes","No","2011-02-22"
"O-196","2011-01-11",1019,5.48,"Standard Class","Corporate","Office Supplies",30,"0%","Yes","No","2011-02-19"
"O-198","2011-01-12",1010,1322.8,"First Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-13"
"O-199","2011-01-12",1022,967.98,"Second Class","Corporate","Furniture",30,"5%","Yes","No","2011-02-24"
"O-200","2011-01-12",1010,451.6,"First Class","Consumer","Furniture",45,"5%","Yes","No","2011-03-05"
"O-201","2011-01-12",1010,244.5,"First Class","Consumer","Technology",30,"5%","Yes","No","2011-02-13"
"O-202","2011-01-12",1010,139.8,"First Class","Consumer","Office Supplies",30,"0%","Yes","No","2011-02-23"
"O-205","2011-01-13",1029,239.74,"Standard Class","Corporate","Technology",14,"0%","Yes","No","2011-02-07"
"O-206","2011-01-13",1010,396.9,"Second Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-21"
"O-207","2011-01-13",1024,157.82,"Standard Class","Corporate","Office Supplies",14,"0%","No","No","2011-03-05"
"O-208","2011-01-13",1031,76.73,"Standard Class","Consumer","Furniture",45,"5%","Yes","No","2011-02-06"
"O-209","2011-01-13",1013,49.7,"Second Class","Consumer","Office Supplies",14,"0%","Yes","No","2011-02-19"
"O-210","2011-01-13",1029,51.63,"Standard Class","Corporate","Office Supplies",14,"0%","Yes","No","2011-02-21"
"O-211","2011-01-13",1029,89.99,"Standard Class","Corporate","Office Supplies",30,"0%","Yes","No","2011-02-19"
"O-212","2011-01-13",1029,38.77,"Standard Class","Corporate","Office Supplies",14,"3%","Yes","No","2011-02-14"
"O-213","2011-01-13",1031,19.54,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-01-20"
"O-214","2011-01-13",1024,9.32,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-22"
"O-215","2011-01-13",1031,10.43,"Standard Class","Consumer","Office Supplies",14,"5%","No","No","2011-02-03"
"O-225","2011-01-14",1004,9.34,"Standard Class","Consumer","Office Supplies",45,"0%","Yes","Yes","2011-02-24"
"O-216","2011-01-14",1020,986.9,"Standard Class","Consumer","Furniture",30,"0%","Yes","No","2011-02-06"
"O-217","2011-01-14",1008,176.68,"Standard Class","Consumer","Technology",45,"5%","No","No","2011-02-23"
"O-219","2011-01-14",1015,123.75,"Standard Class","Consumer","Technology",45,"3%","Yes","No","2011-02-26"
"O-221","2011-01-14",1015,45.19,"Standard Class","Consumer","Office Supplies",45,"3%","No","No","2011-03-10"
"O-222","2011-01-14",1021,16.65,"Standard Class","Corporate","Office Supplies",30,"5%","No","No","2011-03-07"
"O-223","2011-01-14",1031,31.2$,"Standard Class","Consumer","Technology",14,"3%","Yes","No","2011-01-19"
"O-224","2011-01-14",1008,9.61$,"Standard Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-10"
"O-227","2011-01-15",1010,105.52$,"First Class","Consumer","Office Supplies",45,"0%","Yes","No","2011-03-06"
"O-228","2011-01-15",1020,267.98$,"Standard Class","Consumer","Furniture",14,"0%","Yes","No","2011-02-05"
"O-229","2011-01-15",1015,149.97$,"Same Day","Consumer","Office Supplies",45,"3%","Yes","No","2011-03-04"
"O-231","2011-01-15",1008,141.57$,"Standard Class","Consumer","Furniture",45,"5%","No","No","2011-02-27"
"O-233","2011-01-15",1029,114.77$,"Standard Class","Corporate","Office Supplies",45,"5%","No","No","2011-03-09"
"O-234","2011-01-15",1013,113.82,"Standard Class","Consumer","Office Supplies",45,"3%","Yes","No","2011-03-07"
"O-236","2011-01-15",1028,33.93,"First Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-12"
"O-238","2011-01-15",1031,9.94,"First Class","Consumer","Furniture",30,"5%","No","No","2011-02-04"
"O-239","2011-01-15",1028,40.35,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-02"
"O-240","2011-01-15",1008,12.5,"Second Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-18"
"O-241","2011-01-15",1010,16.1,"Standard Class","Consumer","Office Supplies",45,"5%","Yes","No","2011-03-04"
"O-242","2011-01-16",1011,572.58,"Second Class","Corporate","Office Supplies",45,"3%","Yes","No","2011-03-14"
"O-243","2011-01-16",1019,646.74,"Second Class","Corporate","Technology",30,"0%","Yes","No","2011-02-09"
"O-244","2011-01-16",1029,696.85,"Standard Class","Corporate","Technology",45,"5%","Yes","No","2011-02-20"
"O-246","2011-01-16",1019,50.94,"Second Class","Corporate","Office Supplies",14,"0%","Yes","No","2011-02-12"
"O-248","2011-01-16",1029,77.72,"Standard Class","Corporate","Furniture",30,"5%","Yes","No","2011-02-19"
"O-249","2011-01-16",1019,51.94,"Standard Class","Corporate","Furniture",45,"0%","Yes","No","2011-02-17"
"O-250","2011-01-16",1005,11.36,"Second Class","Corporate","Office Supplies",30,"5%","No","No","2011-03-05"
"O-252","2011-01-16",1021,15.55,"Standard Class","Corporate","Office Supplies",30,"3%","Yes","No","2011-03-04"
"O-254","2011-01-16",1005,5.64,"Second Class","Corporate","Office Supplies",30,,"Yes","No","2011-02-20"
"O-255","2011-01-16",1022,12.67,"Standard Class","Corporate","Office Supplies",30,"3%","Yes","No","2011-03-17"
"O-256","2011-01-16",1022,4.55,"Standard Class","Corporate","Office Supplies",30,"0%","Yes","No","2011-03-13"
"O-257","2011-01-16",1021,3.09,"Standard Class","Corporate","Office Supplies",14,"0%","No","No","2011-03-08"
"O-258","2011-01-16",1021,17.36,"Standard Class","Corporate","Office Supplies",30,"5%","Yes","No","2011-03-02"
"O-259","2011-01-16",1005,2.89,"Standard Class","Corporate","Office Supplies",45,"5%","Yes","No","2011-03-01"
"O-260","2011-01-17",1012,495.06,"Standard Class","Corporate","Technology",14,"5%","Yes","No","2011-02-16"
"O-261","2011-01-17",1031,545.94,"Second Class","Consumer","Furniture",14,"5%","Yes","No","2011-01-20"
"O-262","2011-01-17",1012,265.44,"First Class","Corporate","Furniture",14,"5%","Yes","No","2011-02-12"
"O-263","2011-01-17",1012,384.97,"Standard Class","Corporate","Technology",14,"5%","Yes","No","2011-02-10"
"O-264","2011-01-17",1013,201.26,"Standard Class","Consumer","Technology",30,"5%","Yes","No","2011-02-16"
"O-265","2011-01-17",1030,290.1,"Standard Class","Corporate","Furniture",45,"5%","Yes","No","2011-02-18"
"O-266","2011-01-17",1012,26.4,"Standard Class","Corporate","Office Supplies",45,"3%","Yes","No","2011-03-13"
"O-268","2011-01-18",1003,652.32,"First Class","Corporate","Furniture",14,"5%","No","No","2011-02-21"
"O-270","2011/18/01",1023,1199.76,"Standard Class","Consumer","Technology",45,"3%","Yes","No","2011-02-17"
"O-271","2011-01-18",1031,149.95,"First Class","Consumer","Technology",14,"5%","Yes","No","2011-01-22"
"O-272","2011-01-18",1008,554.37,"Standard Class","Consumer","Technology",14,"5%","Yes","No","2011-01-24"
"O-273","2011-01-18",1008,333.69,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-12"
"O-274","2011-01-18",1008,187.57,"Standard Class","Consumer","Furniture",14,"0%","Yes","No","2011-02-07"
"O-275","2011-01-18",1006,109.85,"Standard Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-16"
"O-276","2011/18/01",1027,79.37,"Standard Class","Consumer","Office Supplies",30,"3%","Yes","No","2011-02-23"
"O-280","2011-01-18",1027,79.15,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-04"
"O-281","2011-01-18",1015,4.91,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-09"
"O-283","2011-01-19",1026,485.73,"Standard Class","Corporate","Technology",45,"5%","Yes","Yes","2011-03-09"
"O-282","2011-01-19",1004,1325.85,"Standard Class","Consumer","Office Supplies",14,"0%","No","No","2011-02-08"
"O-285","2011-01-19",1004,334.0,"Standard Class","Consumer","Furniture",14,"3%","Yes","No","2011-01-28"
"O-286","2011-01-19",1003,299.97,"Second Class","Corporate","Office Supplies",45,"0%","Yes","No","2011-03-09"
"O-287","2011-01-19",1031,127.1,"Second Class","Consumer","Furniture",30,"5%","Yes","No","2011-02-04"
"O-288","2011-01-19",1026,551.61,"Standard Class","Corporate","Furniture",14,"5%","Yes","No","2011-02-15"
"O-289","2011-01-19",1030,224.07,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-15"
"O-290","2011-01-19",1026,522.06,"Standard Class","Corporate","Technology",45,"0%","Yes","No","2011-03-14"
"O-291","2011-01-19",1004,124.2,"Second Class","Consumer","Technology",30,"0%","Yes","No","2011-02-08"
"O-292","2011-01-19",1020,198.42,"Standard Class","Consumer","Office Supplies",45,"5%","Yes","No","2011-02-23"
"O-293","2011-01-19",1004,30.07,"Second Class","Consumer","Office Supplies",30,"5%","No","No","2011-02-11"
"O-294","2011-01-19",1003,84.38,"Second Class","Corporate","Office Supplies",30,"3%","Yes","No","2011-03-02"
"O-296","2011-01-19",1007,95.04,"Second Class","Corporate","Office Supplies",14,"3%","Yes","No","2011-02-25"
"O-297","2011-01-19",1007,45.85,"Second Class","Corporate","Office Supplies",30,"0%","Yes","No","2011-03-16"
"O-298","2011-01-19",1004,18.59,"Second Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-12"
"O-299","2011-01-19",1004,19.9,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-01-27"
"O-300","2011-01-19",1007,16.74,"Standard Class","Corporate","Office Supplies",14,"0%","Yes","No","2011-02-23"
"O-301","2011-01-19",1028,49.8,"Standard Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-26"
"O-302","2011-01-19",1031,37.41,"Standard Class","Consumer","Office Supplies",30,"0%","Yes","No","2011-02-18"
"O-304","2011-01-19",1028,9.04,"Standard Class","Consumer","Office Supplies",45,"5%","Yes","No","2011-02-28"
"O-305","2011-01-19",1004,3.44,"Standard Class","Consumer","Office Supplies",30,"3%","Yes","No","2011-02-11"
"O-306","2011-01-20",1007,526.62,"Second Class","Corporate","Technology",14,"5%","Yes","No","2011-02-10"
"O-307","2011-01-20",1021,825.36,"Same Day","Corporate","Furniture",30,"0%","Yes","No","2011-03-08"
"O-308","2011-01-20",1025,372.28,"Same Day","Corporate","Office Supplies",45,"3%","Yes","No","2011-03-17"
"O-309","2011-01-20",1003,145.26,"First Class","Corporate","Office Supplies",45,"3%","No","No","2011-03-25"
"O-310","2011-01-20",1012,393.48,"Standard Class","Corporate","Furniture",30,"5%","Yes","No","2011-03-01"
"O-312","2011-01-20",1003,248.94,"Second Class","Corporate","Office Supplies",14,"0%","Yes","No","2011-02-27"
"O-314","2011-01-20",1022,48.51,"Same Day","Corporate","Office Supplies",45,"5%","Yes","No","2011-03-23"
"O-315","2011-01-20",1026,169.5,"Second Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-24"
"O-316","2011-01-20",1021,48.0,"Same Day","Corporate","Office Supplies",30,"3%","Yes","No","2011-03-08"
"O-317","2011-01-20",1012,109.38,"Standard Class","Corporate","Office Supplies",14,"0%","Yes","No","2011-03-03"
"O-318","2011-01-20",1030,54.6,"Second Class","Corporate","Office Supplies",30,"5%","Yes","No","2011-03-05"
"O-319","2011-01-20",1012,65.92,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-20"
"O-320","2011-01-20",1020,30.9,"Standard Class","Consumer","Office Supplies",45,"0%","Yes","No","2011-02-28"
"O-321","2011-01-20",1030,20.7,"Second Class","Corporate","Office Supplies",30,"5%","Yes","No","2011-02-19"
"O-322","2011-01-21",1000,417.9,"First Class","Consumer","Office Supplies",14,"3%","No","No","2011-03-02"
"O-323","2011-01-21",1021,746.39,"First Class","Corporate","Office Supplies",30,"3%","Yes","No","2011-03-17"
"O-324","2011-01-21",1004,181.47,"First Class","Consumer","Furniture",30,"5%","Yes","No","2011-02-05"
"O-325","2011-01-21",1022,136.44,"Standard Class","Corporate","Office Supplies",45,"3%","Yes","No","2011-03-22"
"O-326","2011-01-21",1003,108.24,"First Class","Corporate","Office Supplies",45,"3%","Yes","No","2011-03-14"
"O-328","2011-01-21",1000,40.92,"First Class","Consumer","Technology",45,"3%","Yes","No","2011-03-02"
"O-329","2011-01-21",1004,108.72,"First Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-09"
"O-330","2011-01-21",1024,98.75,"Standard Class","Corporate","Furniture",45,"0%","Yes","No","2011-03-13"
"O-331","2011-01-21",1024,79.99,"Standard Class","Corporate","Office Supplies",30,"0%","Yes","No","2011-03-15"
"O-332","2011-01-21",1004,32.34,"First Class","Consumer","Office Supplies",30,"3%","No","No","2011-02-26"
"O-333","2011-01-21",1024,18.58,"Standard Class","Corporate","Office Supplies",45,,"Yes","No","2011-03-21"
"O-336","2011-01-21",1027,14.19,"First Class","Consumer","Office Supplies",45,"0%","Yes","No","2011-03-13"
"O-337","2011-01-21",1000,18.52,"Standard Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-28"
"O-338","2011-01-21",1023,14.71,"Standard Class","Consumer","Office Supplies",30,"5%","No","No","2011-02-21"
"O-344","2011-01-22",1017,16.29,"Second Class","Corporate","Office Supplies",30,"0%","Yes","Yes","2011-03-11"
"O-340","2011-01-22",1027,140.91,"First Class","Consumer","Furniture",45,"0%","Yes","No","2011-03-04"
"O-341","2011-01-22",1016,64.86,"Second Class","Corporate","Office Supplies",45,"0%","Yes","No","2011-03-04"
"O-342","2011-01-22",1006,10.32,"Second Class","Consumer","Office Supplies",30,"5%","No","No","2011-02-19"
"O-347","2011-01-23",1008,59.72,"First Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-09"
"O-348","2011-01-23",1029,278.4,"Standard Class","Corporate","Technology",14,"5%","Yes","No","2011-02-07"
"O-349","2011-01-23",1010,47.96,"Same Day","Consumer","Office Supplies",14,"3%","No","No","2011-03-07"
"O-351","2011-01-23",1013,25.8,"Same Day","Consumer","Office Supplies",30,"3%","Yes","No","2011-03-11"
"O-354","2011-01-23",1008,6.32,"First Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-11"
"O-355","2011-01-23",1007,17.05,"Standard Class","Corporate","Office Supplies",14,"3%","Yes","No","2011-03-04"
"O-356","2011-01-24",1014,1302.78,"Same Day","Corporate","Technology",45,"5%","Yes","No","2011-02-23"
"O-357","2011-01-24",1014,560.97,"Same Day","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-23"
"O-358","2011-01-24",1025,716.0,"Standard Class","Corporate","Technology",14,"5%","Yes","No","2011-02-17"
"O-359","2011-01-24",1025,226.4,"Standard Class","Corporate","Furniture",45,"5%","Yes","No","2011-03-10"
"O-360","2011-01-24",1022,95.1,"First Class","Corporate","Office Supplies",30,"0%","Yes","No","2011-03-21"
"O-362","2011-01-24",1023,37.44,"Standard Class","Consumer","Office Supplies",45,"3%","Yes","No","2011-03-07"
"O-363","2011-01-24",1025,52.72,"Standard Class","Corporate","Technology",14,"5%","Yes","No","2011-02-28"
"O-364","2011-01-24",1023,23.62,"Standard Class","Consumer","Office Supplies",30,"3%","Yes","No","2011-02-27"
"O-365","2011-01-24",1031,25.25,"Second Class","Consumer","Furniture",45,"5%","Yes","No","2011-02-17"
"O-366","2011-01-24",1008,138.75,"Second Class","Consumer","Furniture",14,"5%","Yes","No","2011-02-09"
"O-367","2011-01-25",1012,195.65,"Standard Class","Corporate","Furniture",45,"3%","Yes","No","2011-03-23"
"O-368","2011-01-25",1028,58.44,"Standard Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-25"
"O-369","2011-01-25",1024,51.58,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-25"
"O-370","2011-01-26",1007,888.93,"Standard Class","Corporate","Office Supplies",14,"3%","Yes","No","2011-03-07"
"O-371","2011-01-26",1026,825.36,"Standard Class","Corporate","Furniture",45,"5%","Yes","No","2011-03-14"
"O-372","2011-01-26",1007,666.0,"Standard Class","Corporate","Office Supplies",45,"5%","Yes","No","2011-03-18"
"O-373","2011-01-26",1028,72.95,"First Class","Consumer","Furniture",45,"5%","Yes","No","2011-03-01"
"O-374","2011-01-26",1020,119.18,"Same Day","Consumer","Furniture",30,"0%","Yes","No","2011-02-23"
"O-375","2011-01-26",1003,202.2,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-21"
"O-376","2011-01-26",1028,495.42,"Standard Class","Consumer","Technology",14,"0%","Yes","No","2011-02-15"
"O-377","2011-01-26",1028,69.23,"First Class","Consumer","Furniture",30,"0%","Yes","No","2011-02-22"
"O-378","2011-01-26",1020,55.17,"First Class","Consumer","Office Supplies",45,"0%","Yes","No","2011-03-06"
"O-379","2011-01-26",1012,219.28,"Standard Class","Corporate","Furniture",45,"5%","Yes","No","2011-03-09"
"O-380","2011-01-26",1012,108.92,"Standard Class","Corporate","Technology",14,"5%","Yes","No","2011-02-27"
"O-381","2011-01-26",1022,45.48,"First Class","Corporate","Office Supplies",30,"5%","Yes","No","2011-03-08"
"O-382","2011/26/01",1020,41.16,"First Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-18"
"O-383","2011-01-26",1030,53.91,"Standard Class","Corporate","Office Supplies",30,"5%","Yes","No","2011-02-27"
"O-386","2011-01-26",1030,64.64,"Standard Class","Corporate","Technology",14,"5%","Yes","No","2011-02-12"
"O-388","2011-01-26",1030,27.63,"Second Class","Corporate","Office Supplies",45,"5%","Yes","No","2011-03-19"
"O-389","2011-01-26",1028,11.7,"Same Day","Consumer","Office Supplies",45,"5%","Yes","No","2011-03-13"
"O-390","2011-01-26",1004,19.36,"Standard Class","Consumer","Office Supplies",30,,"Yes","No","2011-02-16"
"O-391","2011-01-26",1004,19.3,"Standard Class","Consumer","Furniture",14,"5%","Yes","No","2011-01-31"
"O-393","2011-01-27",1013,2797.25,"Standard Class","Consumer","Furniture",14,"0%","No","No","2011-03-08"
"O-394","2011-01-27",1029,334.3,"First Class","Corporate","Furniture",14,"5%","Yes","No","2011-02-13"
"O-395","2011-01-27",1014,1244.16,"Standard Class","Corporate","Office Supplies",45,"3%","Yes","No","2011-03-19"
"O-396","2011-01-27",1031,1067.94,"Standard Class","Consumer","Furniture",30,"0%","Yes","No","2011-02-18"
"O-397","2011-01-27",1004,699.93,"Standard Class","Consumer","Technology",45,"3%","Yes","No","2011-02-15"
"O-398","2011-01-27",1013,404.88,"Standard Class","Consumer","Technology",45,"0%","Yes","No","2011-03-09"
"O-400","2011-01-27",1031,272.94,"Standard Class","Consumer","Furniture",14,"3%","Yes","No","2011-02-09"
"O-401","2011-01-27",1013,182.32,"Standard Class","Consumer","Technology",45,"5%","No","No","2011-03-15"
"O-402","2011-01-27",1004,247.72,"Standard Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-17"
"O-404","2011-01-27",1010,107.4,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-27"
"O-405","2011-01-27",1004,66.58,"Standard Class","Consumer","Office Supplies",14,"5%","Yes","No","2011-02-06"
"O-406","2011-01-27",1014,84.6,"Standard Class","Corporate","Office Supplies",14,"5%","Yes","No","2011-02-28"
"O-407","2011-01-27",1010,60.96,"Standard Class","Consumer","Office Supplies",45,"3%","Yes","No","2011-03-20"
"O-408","2011-01-27",1031,43.92,"Standard Class","Consumer","Office Supplies",30,"5%","Yes","No","2011-02-16"
